"DEPARTAMENTO","PROVINCIA","DISTRITO","COD_VAL","NOMBRE_ESTACION_VAL","METODOLOGÍA","FECHA","CONCENTRACIÓN (µg/m³)","AÑO"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","16/10/2013","88.00","2013"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","29/10/2013","78.00","2013"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","7/11/2013","107.00","2013"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","14/11/2013","98.00","2013"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","20/11/2013","117.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","31/1/2013","78.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","6/2/2013","82.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","13/2/2013","92.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","19/2/2013","71.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","25/2/2013","83.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","7/3/2013","80.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","13/3/2013","75.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","20/3/2013","71.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","25/3/2013","82.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","4/4/2013","78.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","10/4/2013","45.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","17/4/2013","87.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","22/4/2013","83.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","2/5/2013","76.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","8/5/2013","71.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","15/5/2013","75.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","21/5/2013","75.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","12/6/2013","59.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","18/6/2013","56.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","10/7/2013","57.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","18/7/2013","61.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","24/7/2013","59.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","15/8/2013","61.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","28/8/2013","64.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","9/10/2013","62.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","16/10/2013","59.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","29/10/2013","61.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","7/11/2013","71.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","14/11/2013","64.00","2013"
